RSRP,SNR,CQI,RSSI,RSRQ,STATE
-95,4,10,-80,-13,0
-95,2,8,-78,-13,1
-95,13,9,-80,-13,1
-95,13,9,-80,-13,1
-95,13,9,-80,-13,1
-95,13,9,-80,-13,1
-97,-2,9,-80,-13,1
-97,-2,9,-80,-13,0
-97,-2,9,-80,-13,0
-96,5,9,-80,-12,0
-96,5,9,-82,-12,0
-102,1,7,-85,-14,0
-102,1,6,-83,-14,0
-100,0,10,-81,-14,0
-100,0,5,-83,-14,0
-100,1,5,-83,-14,0
-100,1,7,-86,-14,0
-103,2,7,-86,-14,0
-103,2,7,-84,-14,0
-103,0,7,-86,-15,0
-103,0,7,-86,-15,0
-105,-4,6,-88,-17,0
-105,-4,7,-85,-17,0
-103,-5,9,-83,-16,0
-103,-5,9,-83,-16,0
-101,1,6,-80,-15,0
-101,1,7,-85,-15,0
-102,2,7,-85,-15,0
-102,2,7,-85,-15,0
-104,-3,8,-82,-16,0
-104,-3,6,-84,-16,0
-100,1,6,-84,-14,0
-100,1,6,-87,-14,0
-100,1,6,-87,-14,0
-103,1,6,-87,-13,0
-103,1,6,-87,-13,0
-104,1,6,-87,-14,0
-104,1,6,-87,-14,0
-104,0,6,-87,-14,0
-104,0,6,-87,-14,0
-106,0,7,-89,-14,0
-106,0,6,-87,-14,0
-106,2,7,-84,-14,0
-101,2,7,-84,-14,0
-101,2,7,-84,-14,0
-104,3,6,-87,-14,0
-104,3,6,-85,-14,0
-102,2,6,-88,-14,0
-102,2,6,-88,-14,0
-105,0,6,-88,-15,0
-105,0,6,-88,-15,0
-105,4,6,-88,-13,0
-105,4,6,-86,-13,0
-105,3,6,-88,-13,0
-100,4,6,-88,-13,0
-100,4,8,-84,-13,0
-107,5,8,-90,-15,0
-107,5,8,-90,-15,0
-108,1,8,-90,-14,0
-108,1,8,-90,-14,0
-108,3,8,-90,-13,0
-108,3,6,-92,-13,0
-108,3,6,-92,-13,0
-109,3,6,-94,-13,0
-112,2,6,-94,-14,0
-112,2,6,-94,-14,0
-109,-2,6,-92,-16,0
-109,-2,7,-89,-16,0
-106,2,9,-93,-15,0
